2315.00,357.00,0
2302.00,7.00,2
1618.00,357.00,1
1332.00,357.00,1
2308.00,14.00,2
1429.00,357.00,1
1579.00,357.00,1
2285.00,357.00,0
1598.00,357.00,1
2214.00,9.00,2
1571.00,357.00,1
1626.00,357.00,1
2299.00,5.00,2
2303.00,2.00,2
2301.00,3.00,2
141.00,357.00,2
58.00,357.00,2
109.00,357.00,2
2261.00,4.00,2
2271.00,6.00,2
2303.00,357.00,0
2237.00,357.00,0
2248.00,18.00,2
2300.00,13.00,2
88.00,357.00,2
235.00,6.00,2
603.00,6.00,2
173.00,10.00,2
93.00,6.00,2
2187.00,357.00,0
2135.00,357.00,0
2264.00,357.00,0
2253.00,4.00,2
2222.00,357.00,0
2219.00,9.00,2
2224.00,15.00,2
2221.00,58.00,0
2190.00,8.00,2
2170.00,357.00,0
216.00,357.00,2
0.00,357.00,2
11.00,357.00,2
0.00,357.00,2
2215.00,6.00,2
280.00,2.00,2
287.00,2.00,2
301.00,1.00,2
2269.00,357.00,0
1529.00,357.00,1
1561.00,357.00,1
1584.00,357.00,1
1541.00,357.00,1
2311.00,357.00,0
2195.00,357.00,0
2195.00,357.00,0
2196.00,357.00,0
1163.00,4.00,2
2099.00,4.00,1
2111.00,2.00,2
2133.00,2.00,2
1270.00,3.00,1
2265.00,10.00,2
2218.00,10.00,2
1391.00,357.00,1
2252.00,7.00,2
2187.00,6.00,2
1263.00,357.00,1
2218.00,357.00,0
2238.00,10.00,2
2198.00,6.00,2
1399.00,7.00,1
2215.00,9.00,2
2219.00,8.00,2
1373.00,357.00,1
1709.00,357.00,1
2085.00,357.00,1
1447.00,357.00,1
2269.00,357.00,0
2275.00,357.00,0
2268.00,357.00,0
2216.00,12.00,2
2217.00,357.00,0
1061.00,357.00,2
1431.00,357.00,1
51.00,357.00,2
47.00,357.00,2
36.00,357.00,2
60.00,357.00,2
58.00,357.00,2
637.00,357.00,2
435.00,357.00,2
1272.00,357.00,1
2188.00,2.00,2
2217.00,6.00,2
2215.00,6.00,2
2213.00,357.00,0
778.00,357.00,2
556.00,12.00,2
536.00,357.00,2
552.00,357.00,2
505.00,357.00,2
375.00,5.00,2
2181.00,6.00,2
2283.00,357.00,0
1439.00,357.00,1
2147.00,357.00,0
2213.00,357.00,0
2213.00,357.00,0
2191.00,7.00,2
2207.00,357.00,0
2191.00,2.00,2
2171.00,4.00,2
2195.00,357.00,0
2195.00,61.00,0
2149.00,7.00,2
2153.00,357.00,0
2200.00,69.00,0
2220.00,59.00,0
2221.00,357.00,0
2127.00,6.00,2
2156.00,7.00,2
2154.00,357.00,0
1823.00,6.00,1
443.00,357.00,2
1981.00,357.00,1
2252.00,357.00,0

